Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)=12.000 140 points
 0.8455380  3.7111  1.4209  2.7406  1.453  0.031  0.708  0.435  0.873  1.466  1.934  2.032  2.115  2.667  3.2520E-01  2.1019E-01  1.3634E-01
 0.8456938  3.7097  1.4560  2.6999  1.370  0.039  0.713  0.439  0.880  1.475  1.946  2.045  2.127  2.682  3.0120E-01  1.9459E-01  1.2618E-01
 0.8458392  3.7085  1.4915  2.6597  1.285  0.046  0.717  0.443  0.887  1.483  1.957  2.057  2.137  2.695  2.8060E-01  1.8121E-01  1.1747E-01
 0.8459744  3.7072  1.5265  2.6196  1.202  0.053  0.722  0.446  0.893  1.491  1.968  2.069  2.148  2.709  2.6180E-01  1.6901E-01  1.0953E-01
 0.8461010  3.7057  1.5611  2.5790  1.121  0.061  0.727  0.451  0.901  1.500  1.981  2.082  2.161  2.725  2.4450E-01  1.5778E-01  1.0223E-01
 0.8462189  3.7043  1.5959  2.5387  1.038  0.069  0.732  0.455  0.908  1.509  1.993  2.095  2.173  2.739  2.2680E-01  1.4631E-01  9.4779E-02
 0.8463278  3.7028  1.6305  2.4982  0.956  0.078  0.738  0.459  0.915  1.518  2.006  2.108  2.185  2.755  2.1130E-01  1.3627E-01  8.8255E-02
 0.8464302  3.7013  1.6650  2.4577  0.874  0.087  0.744  0.462  0.922  1.527  2.018  2.121  2.198  2.770  1.9820E-01  1.2779E-01  8.2744E-02
 0.8465260  3.6998  1.6996  2.4172  0.792  0.097  0.751  0.466  0.928  1.535  2.030  2.134  2.210  2.785  1.8440E-01  1.1886E-01  7.6948E-02
 0.8466146  3.6983  1.7340  2.3768  0.710  0.107  0.757  0.470  0.934  1.544  2.042  2.146  2.222  2.799  2.2450E-01  1.4466E-01  9.3636E-02
 0.8467505  3.6957  1.7908  2.3097  0.574  0.127  0.770  0.475  0.944  1.558  2.061  2.167  2.243  2.823  2.5860E-01  1.6658E-01  1.0780E-01
 0.8468732  3.6931  1.8480  2.2421  0.436  0.149  0.784  0.481  0.952  1.571  2.079  2.186  2.263  2.846  2.5810E-01  1.6620E-01  1.0752E-01
 0.8470086  3.6905  1.9049  2.1749  0.299  0.173  0.800  0.486  0.961  1.584  2.097  2.205  2.283  2.868  2.8450E-01  1.8313E-01  1.1845E-01
 0.8471577  3.6878  1.9616  2.1075  0.162  0.200  0.816  0.491  0.969  1.598  2.115  2.224  2.304  2.891  3.4680E-01  2.2313E-01  1.4427E-01
 0.8473554  3.6853  2.0186  2.0406  0.025  0.226  0.832  0.496  0.977  1.610  2.132  2.242  2.324  2.912  2.9760E-01  1.9139E-01  1.2371E-01
 0.8474553  3.6823  2.0740  1.9732 -0.107  0.258  0.852  0.502  0.987  1.626  2.153  2.265  2.349  2.939  1.7740E-01  1.1405E-01  7.3704E-02
 0.8475328  3.6793  2.1288  1.9065 -0.236  0.291  0.872  0.508  0.997  1.643  2.176  2.289  2.375  2.967  1.4210E-01  9.1337E-02  5.9016E-02
 0.8475974  3.6761  2.1829  1.8396 -0.361  0.326  0.893  0.516  1.010  1.664  2.202  2.317  2.405  2.999  1.2210E-01  7.8468E-02  5.0694E-02
 0.8476549  3.6729  2.2365  1.7732 -0.483  0.362  0.914  0.524  1.023  1.686  2.232  2.348  2.437  3.035  1.0910E-01  7.0102E-02  4.5284E-02
 0.8477065  3.6696  2.2901  1.7065 -0.604  0.402  0.937  0.532  1.038  1.711  2.264  2.381  2.473  3.073  9.8400E-02  6.3218E-02  4.0833E-02
 0.8477533  3.6663  2.3434  1.6400 -0.722  0.444  0.960  0.540  1.053  1.738  2.299  2.417  2.510  3.113  8.9400E-02  5.7428E-02  3.7090E-02
 0.8477959  3.6630  2.3965  1.5737 -0.838  0.488  0.984  0.549  1.069  1.767  2.336  2.455  2.550  3.155  8.0800E-02  5.1898E-02  3.3515E-02
 0.8478341  3.6596  2.4492  1.5074 -0.951  0.534  1.009  0.560  1.087  1.798  2.376  2.496  2.593  3.201  7.3000E-02  4.6883E-02  3.0274E-02
 0.8478689  3.6562  2.5015  1.4416 -1.061  0.580  1.035  0.571  1.107  1.830  2.417  2.538  2.637  3.248  6.7400E-02  4.3282E-02  2.7947E-02
 0.8479015  3.6527  2.5536  1.3755 -1.169  0.626  1.061  0.584  1.129  1.864  2.460  2.583  2.684  3.299  6.0900E-02  3.9104E-02  2.5248E-02
 0.8479298  3.6492  2.6052  1.3099 -1.274  0.672  1.089  0.598  1.154  1.899  2.504  2.630  2.733  3.352  5.5000E-02  3.5313E-02  2.2799E-02
 0.8479565  3.6456  2.6566  1.2441 -1.375  0.721  1.118  0.616  1.184  1.936  2.550  2.680  2.785  3.410  4.9600E-02  3.1844E-02  2.0558E-02
 0.8479794  3.6419  2.7073  1.1786 -1.471  0.772  1.149  0.636  1.218  1.977  2.600  2.734  2.842  3.473  4.5400E-02  2.9145E-02  1.8815E-02
 0.8480019  3.6382  2.7581  1.1130 -1.565  0.823  1.180  0.658  1.255  2.019  2.651  2.791  2.900  3.539  4.1300E-02  2.6512E-02  1.7114E-02
 0.8480207  3.6345  2.8085  1.0478 -1.655  0.876  1.211  0.679  1.292  2.063  2.705  2.849  2.961  3.607  3.7600E-02  2.4135E-02  1.5580E-02
 0.8480395  3.6308  2.8589  0.9826 -1.744  0.928  1.242  0.700  1.329  2.109  2.762  2.910  3.023  3.677  3.5800E-02  2.2979E-02  1.4832E-02
 0.8480565  3.6270  2.9092  0.9171 -1.831  0.981  1.274  0.719  1.364  2.159  2.822  2.974  3.090  3.749  3.1700E-02  2.0346E-02  1.3133E-02
 0.8480712  3.6233  2.9592  0.8524 -1.917  1.034  1.304  0.736  1.397  2.209  2.883  3.038  3.156  3.821  2.9400E-02  1.8869E-02  1.2179E-02
 0.8480859  3.6195  3.0093  0.7871 -2.001  1.088  1.335  0.752  1.429  2.263  2.949  3.105  3.226  3.897  2.9300E-02  1.8804E-02  1.2137E-02
 0.8481005  3.6157  3.0594  0.7218 -2.082  1.143  1.367  0.768  1.461  2.319  3.017  3.175  3.298  3.976  2.5600E-02  1.6429E-02  1.0603E-02
 0.8481115  3.6120  3.1093  0.6571 -2.161  1.196  1.398  0.784  1.494  2.377  3.086  3.247  3.372  4.057  2.2100E-02  1.4182E-02  9.1532E-03
 0.8481226  3.6082  3.1593  0.5919 -2.236  1.251  1.430  0.801  1.531  2.440  3.161  3.324  3.452  4.144  2.2200E-02  1.4246E-02  9.1941E-03
 0.8481337  3.6044  3.2093  0.5267 -2.306  1.305  1.464  0.821  1.572  2.506  3.240  3.406  3.537  4.238  2.2100E-02  1.4181E-02  9.1523E-03
 0.8481447  3.6006  3.2592  0.4616 -2.371  1.359  1.500  0.845  1.620  2.577  3.324  3.494  3.628  4.338  4.0500E-02  2.5987E-02  1.6771E-02
 0.8481742  3.5969  3.3097  0.3963 -2.432  1.414  1.536  0.873  1.674  2.651  3.409  3.586  3.722  4.443  2.9500E-02  1.8928E-02  1.2215E-02
